,Nom,Type,Pop21,Pop16,Km2
210,Parisville,PE,396.0,530.0,35.58
211,Saint-Pierre-les-Becquets,MÉ,1183.0,1137.0,48.14
212,Saint-Sylvère,MÉ,786.0,791.0,86.3
213,Sainte-Cécile-de-Lévrard,PE,349.0,372.0,32.32
214,Sainte-Françoise,MÉ,467.0,449.0,87.02
215,Sainte-Marie-de-Blandford,MÉ,443.0,468.0,69.3
216,Sainte-Sophie-de-Lévrard,PE,704.0,729.0,84.05
217,Wôlinak,IRI,194.0,202.0,0.74
218,Baie-Saint-Paul,V,7371.0,7146.0,545.85
219,L'Isle-aux-Coudres,MÉ,1116.0,1143.0,29.46
220,Lac-Pikauba 3,NO,0.0,0.0,2440.54
221,Les Éboulements,MÉ,1465.0,1331.0,156.19
222,Petite-Rivière-Saint-François,MÉ,953.0,814.0,133.89
223,Saint-Hilarion,PE,1146.0,1127.0,100.3
224,Saint-Urbain,PE,1320.0,1373.0,330.57
225,Baie-Sainte-Catherine,MÉ,184.0,206.0,232.89
226,Clermont,V,3065.0,3085.0,51.53
227,La Malbaie,V,8235.0,8271.0,458.19
228,Mont-Élie,NO,51.0,63.0,851.18
229,Notre-Dame-des-Monts,MÉ,789.0,791.0,57.93
230,Sagard,NO,110.0,130.0,204.59
231,Saint-Aimé-des-Lacs,MÉ,1158.0,1095.0,91.61
232,Saint-Irénée,PE,678.0,641.0,59.92
233,Saint-Siméon,MÉ,1139.0,1227.0,281.14
234,Barnston-Ouest 3,MÉ,546.0,559.0,99.36
235,Coaticook 3,V,8867.0,8955.0,219.45
236,Compton,MÉ,3270.0,3131.0,206.58
237,Dixville,MÉ,732.0,696.0,76.56
238,East Hereford,MÉ,282.0,269.0,72.1
239,Martinville,MÉ,441.0,436.0,47.66
240,Saint-Herménégilde,MÉ,690.0,670.0,166.15
241,Saint-Malo,MÉ,514.0,475.0,131.83
242,Saint-Venant-de-Paquette,MÉ,69.0,97.0,58.75
243,Sainte-Edwidge-de-Clifton,CT,546.0,504.0,101.84
244,Stanstead-Est,MÉ,642.0,584.0,114.54
245,Waterville,V,2307.0,2121.0,44.03
246,Grosse-Île,MÉ,464.0,465.0,32.28
247,Les Îles-de-la-Madeleine,MÉ,12190.0,12010.0,155.06
248,Berthierville,V,4386.0,4189.0,6.77
249,La Visitation-de-l'Île-Dupas,MÉ,684.0,626.0,28.15
250,Lanoraie,MÉ,5134.0,4787.0,102.74
251,Lavaltrie,V,14425.0,13657.0,68.22
252,Mandeville,MÉ,2363.0,2189.0,318.21
253,Saint-Barthélemy,PE,2087.0,1934.0,105.36
254,Saint-Cléophas-de-Brandon,MÉ,254.0,227.0,15.34
255,Saint-Cuthbert,MÉ,1821.0,1862.0,131.72
256,Saint-Didace,PE,688.0,652.0,99.6
257,Saint-Gabriel 5,V,2803.0,2640.0,2.81
258,Saint-Gabriel-de-Brandon 5,MÉ,2684.0,2635.0,99.23
259,Saint-Ignace-de-Loyola,MÉ,2048.0,2049.0,31.9
260,Saint-Norbert,PE,1060.0,1003.0,74.6
261,Sainte-Geneviève-de-Berthier,MÉ,2253.0,2280.0,67.03
262,Sainte-Élisabeth,MÉ,1390.0,1459.0,83.0
263,Deux-Montagnes,V,17915.0,17496.0,6.08
264,Kanesatake 6,S-É,,,11.86
265,Oka,MÉ,3968.0,3824.0,56.99
266,Pointe-Calumet,MÉ,6281.0,6428.0,4.59
267,Saint-Eustache,V,45276.0,44008.0,70.51
268,Saint-Joseph-du-Lac,MÉ,7031.0,6687.0,41.22
269,Saint-Placide,MÉ,1784.0,1686.0,42.89
270,Sainte-Marthe-sur-le-Lac,V,19797.0,18074.0,8.73
271,Drummondville,V,79258.0,75423.0,247.11
272,Durham-Sud,MÉ,1051.0,1043.0,92.64
273,L'Avenir,MÉ,1350.0,1307.0,97.59
274,Lefebvre,MÉ,925.0,904.0,66.18
275,Notre-Dame-du-Bon-Conseil,VL,1708.0,1557.0,4.2
276,Notre-Dame-du-Bon-Conseil,PE,885.0,949.0,87.49
277,Saint-Bonaventure,MÉ,1066.0,1031.0,78.72
278,Saint-Cyrille-de-Wendover,MÉ,4920.0,4723.0,110.2
279,Saint-Edmond-de-Grantham,PE,804.0,762.0,48.29
280,Saint-Eugène,MÉ,1139.0,1126.0,75.84
281,Saint-Félix-de-Kingsey,MÉ,1493.0,1430.0,126.28
282,Saint-Germain-de-Grantham,MÉ,4922.0,4917.0,87.47
283,Saint-Guillaume,MÉ,1491.0,1476.0,87.91
284,Saint-Lucien,MÉ,1801.0,1647.0,110.99
285,Saint-Majorique-de-Grantham,PE,1384.0,1388.0,57.5
286,Saint-Pie-de-Guire,PE,446.0,450.0,51.27
287,Sainte-Brigitte-des-Saults,PE,737.0,723.0,70.79
288,Wickham,MÉ,2587.0,2541.0,98.63
289,Batiscan,MÉ,958.0,903.0,43.25
290,Champlain,MÉ,1807.0,1735.0,58.17
291,Notre-Dame-du-Mont-Carmel,PE,6121.0,5751.0,128.29
292,Saint-Luc-de-Vincennes,MÉ,519.0,545.0,53.78
293,Saint-Maurice,PE,3432.0,3286.0,91.36
294,Saint-Narcisse,PE,1801.0,1832.0,106.74
295,Saint-Prosper-de-Champlain,MÉ,482.0,530.0,94.11
296,Saint-Stanislas,MÉ,1001.0,1010.0,89.38
297,Sainte-Anne-de-la-Pérade,MÉ,2031.0,2019.0,109.28
298,Sainte-Geneviève-de-Batiscan,PE,1028.0,1006.0,97.65
299,Trois-Rivières,V,139163.0,134413.0,288.65
300,Gatineau,V,291041.0,276245.0,341.84
