"Nom géographique";"Abréviation du nom du genre de région géographique";"Population, 2021";"Population, 2016";"Variation en pourcentage de la population, 2016 à 2021";"Total des logements privés, 2021";"Total des logements privés, 2016";"Variation en pourcentage du total des logements privés, 2016 à 2021";"Logements privés occupés par des résidents habituels, 2021";"Logements privés occupés par des résidents habituels, 2016";"Variation en pourcentage des logements privés occupés par des résidents habituels, 2016 à 2021";"Superficie des terres en kilomètres carrés, 2021";"Densité de population au kilomètre carré, 2021";"Classement national de la population, 2021";"Classement provincial et territorial de la population, 2021"
"Villeroy";"MÉ";"488";"457";"6,8";"235";"240";"-2,1";"211";"208";"1,4";"101,90";"4,8";"2 972";"931"
"Saint-François-de-l'Île-d'Orléans";"MÉ";"536";"527";"1,7";"359";"384";"-6,5";"253";"237";"6,8";"28,96";"18,5";"2 856";"899"
"Saint-Jean-de-l'Île-d'Orléans";"MÉ";"1 026";"1 059";"-3,1";"639";"681";"-6,2";"493";"498";"-1,0";"43,48";"23,6";"2 082";"653"
"Saint-Laurent-de-l'Île-d'Orléans";"MÉ";"1 607";"1 532";"4,9";"824";"827";"-0,4";"713";"645";"10,5";"35,64";"45,1";"1 592";"484"
"Saint-Pierre-de-l'Île-d'Orléans";"MÉ";"1 743";"1 993";"-12,5";"811";"871";"-6,9";"768";"832";"-7,7";"31,64";"55,1";"1 518";"451"
"Sainte-Famille-de-l'Île-d'Orléans";"MÉ";"850";"938";"-9,4";"371";"445";"-16,6";"343";"382";"-10,2";"50,54";"16,8";"2 307";"732"
"Sainte-Pétronille";"VL";"1 055";"1 033";"2,1";"509";"495";"2,8";"463";"446";"3,8";"4,32";"244,4";"2 048";"638"
"Beaupré";"V";"4 117";"3 752";"9,7";"2 812";"2 468";"13,9";"1 859";"1 579";"17,7";"22,97";"179,2";"840";"211"
"Boischatel";"MÉ";"8 231";"7 587";"8,5";"3 128";"2 868";"9,1";"3 050";"2 814";"8,4";"20,36";"404,3";"502";"127"
"Château-Richer";"V";"4 425";"4 126";"7,2";"2 064";"1 905";"8,3";"1 918";"1 778";"7,9";"228,84";"19,3";"796";"203"
"L'Ange-Gardien";"MÉ";"3 842";"3 695";"4,0";"1 717";"1 625";"5,7";"1 632";"1 550";"5,3";"53,61";"71,7";"887";"223"
"Lac-Jacques-Cartier";"NO";"0";"0";"...";"0";"0";"...";"0";"0";"...";"4 131,62";"0,0";"4 831";"1 194"
"Saint-Ferréol-les-Neiges";"MÉ";"3 806";"3 240";"17,5";"2 697";"2 382";"13,2";"1 806";"1 478";"22,2";"83,18";"45,8";"892";"226"
"Saint-Joachim";"PE";"1 427";"1 441";"-1,0";"682";"677";"0,7";"629";"621";"1,3";"42,33";"33,7";"1 713";"521"
"Saint-Louis-de-Gonzague-du-Cap-Tourmente";"PE";"0";"5";"-100,0";"1";"1";"0,0";"1";"1";"0,0";"0,42";"0,0";"4 831";"1 194"
"Saint-Tite-des-Caps";"MÉ";"1 504";"1 473";"2,1";"887";"866";"2,4";"720";"685";"5,1";"129,30";"11,6";"1 662";"502"
"Sainte-Anne-de-Beaupré";"V";"2 888";"2 880";"0,3";"1 499";"1 452";"3,2";"1 412";"1 345";"5,0";"62,38";"46,3";"1 074";"286"
"Sault-au-Cochon";"NO";"0";"0";"...";"0";"0";"...";"0";"0";"...";"70,18";"0,0";"4 831";"1 194"
"Cloridorme";"CT";"607";"671";"-9,5";"382";"397";"-3,8";"315";"336";"-6,3";"158,74";"3,8";"2 702";"860"
"Collines-du-Basque";"NO";"0";"0";"...";"0";"5";"-100,0";"0";"0";"...";"817,84";"0,0";"4 831";"1 194"
"Gaspé";"V";"15 063";"14 568";"3,4";"7 352";"7 074";"3,9";"6 780";"6 412";"5,7";"1 118,77";"13,5";"289";"74"
"Grande-Vallée";"MÉ";"1 077";"1 057";"1,9";"595";"569";"4,6";"530";"493";"7,5";"144,16";"7,5";"2 020";"629"
"Murdochville";"V";"643";"651";"-1,2";"476";"512";"-7,0";"327";"313";"4,5";"60,84";"10,6";"2 638";"838"
"Petite-Vallée";"MÉ";"157";"170";"-7,6";"98";"91";"7,7";"82";"83";"-1,2";"39,90";"3,9";"4 023";"1 136"
"Rivière-Saint-Jean";"NO";"0";"0";"...";"3";"0";"...";"0";"0";"...";"1 748,14";"0,0";"4 831";"1 194"
"Colombier";"MÉ";"635";"685";"-7,3";"363";"376";"-3,5";"324";"343";"-5,5";"361,23";"1,8";"2 654";"846"
"Essipit";"IRI";"310";"297";"4,4";"134";"126";"6,3";"128";"122";"4,9";"1,13";"274,5";"3 480";"1 052"
"Forestville";"V";"2 892";"3 081";"-6,1";"1 577";"1 542";"2,3";"1 476";"1 445";"2,1";"192,61";"15,0";"1 071";"284"
"Lac-au-Brochet";"NO";"0";"5";"-100,0";"7";"35";"-80,0";"0";"2";"-100,0";"9 360,33";"0,0";"4 831";"1 194"
"Les Bergeronnes";"MÉ";"619";"661";"-6,4";"319";"372";"-14,2";"289";"290";"-0,3";"268,77";"2,3";"2 678";"853"
"Les Escoumins";"MÉ";"1 794";"1 891";"-5,1";"983";"966";"1,8";"856";"848";"0,9";"265,89";"6,7";"1 483";"441"
"Longue-Rive";"MÉ";"918";"1 026";"-10,5";"562";"556";"1,1";"488";"492";"-0,8";"308,06";"3,0";"2 223";"698"
"Portneuf-sur-Mer 3";"MÉ";"612";"641";"-4,5";"357";"369";"-3,3";"321";"310";"3,5";"181,90";"3,4";"2 694";"858"
"Sacré-Coeur";"MÉ";"1 684";"1 803";"-6,6";"877";"896";"-2,1";"744";"769";"-3,3";"303,15";"5,6";"1 546";"468"
"Tadoussac";"VL";"814";"799";"1,9";"514";"494";"4,0";"397";"380";"4,5";"52,73";"15,4";"2 347";"748"
"Cap-Chat";"V";"2 516";"2 476";"1,6";"1 405";"1 333";"5,4";"1 225";"1 124";"9,0";"181,31";"13,9";"1 187";"334"
"Coulée-des-Adolphe";"NO";"0";"0";"...";"1";"0";"...";"0";"0";"...";"86,20";"0,0";"4 831";"1 194"
"La Martre";"MÉ";"194";"243";"-20,2";"119";"147";"-19,0";"84";"99";"-15,2";"175,23";"1,1";"3 880";"1 116"
"Marsoui";"VL";"289";"275";"5,1";"179";"182";"-1,6";"149";"135";"10,4";"181,40";"1,6";"3 545";"1 068"
"Mont-Albert";"NO";"167";"179";"-6,7";"110";"150";"-26,7";"91";"88";"3,4";"3 463,19";"0,0";"3 987";"1 132"
"Mont-Saint-Pierre";"VL";"186";"155";"20,0";"133";"139";"-4,3";"98";"87";"12,6";"52,07";"3,6";"3 906";"1 120"
"Rivière-à-Claude";"MÉ";"141";"128";"10,2";"113";"123";"-8,1";"76";"71";"7,0";"155,95";"0,9";"4 093";"1 142"
"Saint-Maxime-du-Mont-Louis";"MÉ";"1 047";"1 134";"-7,7";"585";"620";"-5,6";"501";"496";"1,0";"232,67";"4,5";"2 056";"642"
"Sainte-Anne-des-Monts";"V";"6 121";"6 437";"-4,9";"3 353";"3 307";"1,4";"3 030";"3 020";"0,3";"263,51";"23,2";"638";"161"
"Sainte-Madeleine-de-la-Rivière-Madeleine";"MÉ";"289";"289";"0,0";"224";"281";"-20,3";"161";"150";"7,3";"262,35";"1,1";"3 545";"1 068"
"Granby";"V";"69 025";"66 222";"4,2";"32 766";"30 880";"6,1";"31 850";"29 948";"6,4";"152,69";"452,1";"85";"16"
"Roxton Pond";"MÉ";"4 224";"3 809";"10,9";"1 840";"1 701";"8,2";"1 743";"1 576";"10,6";"97,64";"43,3";"829";"208"
"Saint-Alphonse-de-Granby";"MÉ";"3 341";"3 094";"8,0";"1 289";"1 160";"11,1";"1 261";"1 142";"10,4";"50,12";"66,7";"962";"249"
"Saint-Joachim-de-Shefford";"MÉ";"1 476";"1 301";"13,5";"609";"582";"4,6";"571";"496";"15,1";"126,91";"11,6";"1 678";"510"
"Sainte-Cécile-de-Milton";"MÉ";"2 195";"2 160";"1,6";"864";"849";"1,8";"832";"813";"2,3";"72,96";"30,1";"1 303";"377"
"Shefford";"CT";"7 253";"6 947";"4,4";"3 095";"2 903";"6,6";"2 909";"2 723";"6,8";"117,99";"61,5";"568";"140"
"Warden";"VL";"362";"363";"-0,3";"163";"165";"-1,2";"155";"155";"0,0";"5,46";"66,3";"3 311";"1 021"
"Waterloo";"V";"4 920";"4 410";"11,6";"2 404";"2 124";"13,2";"2 242";"1 973";"13,6";"12,23";"402,2";"747";"190"
"Fossambault-sur-le-Lac";"V";"2 327";"1 960";"18,7";"1 282";"1 283";"-0,1";"994";"852";"16,7";"11,49";"202,6";"1 253";"356"
"Lac-Beauport";"MÉ";"8 164";"7 801";"4,7";"3 201";"3 031";"5,6";"3 070";"2 845";"7,9";"61,73";"132,2";"506";"128"
"Lac-Croche";"NO";"0";"0";"...";"0";"0";"...";"0";"0";"...";"1 679,99";"0,0";"4 831";"1 194"
"Lac-Delage";"V";"771";"638";"20,8";"316";"254";"24,4";"308";"242";"27,3";"1,58";"486,9";"2 408";"771"
"Lac-Saint-Joseph";"V";"304";"260";"16,9";"334";"358";"-6,7";"167";"127";"31,5";"33,65";"9,0";"3 497";"1 055"
"Saint-Gabriel-de-Valcartier";"MÉ";"3 223";"3 382";"-4,7";"1 136";"1 204";"-5,6";"1 067";"1 124";"-5,1";"432,62";"7,5";"993";"259"
"Sainte-Brigitte-de-Laval";"V";"8 468";"7 348";"15,2";"3 343";"3 007";"11,2";"3 203";"2 816";"13,7";"108,42";"78,1";"487";"123"
"Sainte-Catherine-de-la-Jacques-Cartier";"V";"8 442";"7 706";"9,6";"3 407";"3 063";"11,2";"3 298";"2 965";"11,2";"120,70";"69,9";"488";"124"
"Shannon";"V";"6 432";"6 031";"6,6";"2 437";"2 277";"7,0";"2 332";"2 109";"10,6";"63,54";"101,2";"618";"152"
"Stoneham-et-Tewkesbury";"CU";"9 682";"8 359";"15,8";"4 421";"3 924";"12,7";"3 862";"3 252";"18,8";"670,03";"14,5";"440";"112"
"Baie-des-Sables";"MÉ";"613";"628";"-2,4";"336";"328";"2,4";"281";"266";"5,6";"65,07";"9,4";"2 690";"857"
"Grosses-Roches 3";"MÉ";"375";"394";"-4,8";"261";"280";"-6,8";"206";"209";"-1,4";"63,59";"5,9";"3 260";"1 013"
"Les Méchins";"MÉ";"995";"987";"0,8";"671";"753";"-10,9";"519";"508";"2,2";"441,39";"2,3";"2 114";"662"
"Matane";"V";"13 987";"14 311";"-2,3";"7 482";"7 421";"0,8";"6 996";"6 866";"1,9";"195,49";"71,5";"309";"82"
"Rivière-Bonjour 7";"NO";"16";"0";"...";"67";"144";"-53,5";"8";"0";"...";"1 682,50";"0,0";"4 686";"1 177"
"Saint-Adelme 3";"PE";"484";"520";"-6,9";"291";"323";"-9,9";"223";"222";"0,5";"100,58";"4,8";"2 981";"936"
"Saint-Jean-de-Cherbourg 3";"PE";"163";"165";"-1,2";"93";"130";"-28,5";"73";"73";"0,0";"113,96";"1,4";"3 997";"1 133"
"Saint-Léandre";"PE";"375";"400";"-6,3";"222";"209";"6,2";"188";"189";"-0,5";"104,72";"3,6";"3 260";"1 013"
"Saint-René-de-Matane 3";"MÉ";"961";"991";"-3,0";"596";"659";"-9,6";"478";"468";"2,1";"253,89";"3,8";"2 160";"673"
"Saint-Ulric";"MÉ";"1 567";"1 585";"-1,1";"912";"878";"3,9";"781";"755";"3,4";"120,45";"13,0";"1 623";"492"
"Sainte-Félicité 3";"MÉ";"1 100";"1 087";"1,2";"580";"614";"-5,5";"505";"507";"-0,4";"90,73";"12,1";"1 998";"618"
"Sainte-Paule";"MÉ";"247";"233";"6,0";"217";"209";"3,8";"129";"115";"12,2";"83,36";"3,0";"3 691";"1 091"
"Albertville";"MÉ";"239";"226";"5,8";"163";"126";"29,4";"122";"113";"8,0";"103,13";"2,3";"3 722";"1 097"
"Amqui";"V";"5 999";"6 178";"-2,9";"3 015";"2 992";"0,8";"2 846";"2 862";"-0,6";"121,02";"49,6";"649";"164"
"Causapscal";"V";"2 147";"2 304";"-6,8";"1 140";"1 162";"-1,9";"1 061";"1 062";"-0,1";"161,61";"13,3";"1 321";"383"
"Lac-Alfred";"NO";"0";"0";"...";"0";"0";"...";"0";"0";"...";"77,53";"0,0";"4 831";"1 194"
"Lac-Casault 7";"NO";"30";"0";"...";"142";"113";"25,7";"24";"1";"2 300,0";"1 428,21";"0,0";"4 592";"1 169"
"Lac-Matapédia 3";"NO";"10";"5";"100,0";"18";"16";"12,5";"8";"3";"166,7";"71,01";"0,1";"4 722";"1 179"
"Lac-au-Saumon";"MÉ";"1 488";"1 450";"2,6";"646";"598";"8,0";"607";"561";"8,2";"81,05";"18,4";"1 672";"507"
"Rivière-Patapédia-Est";"NO";"0";"0";"...";"0";"0";"...";"0";"0";"...";"15,85";"0,0";"4 831";"1 194"
"Rivière-Vaseuse";"NO";"0";"0";"...";"0";"0";"...";"0";"0";"...";"275,30";"0,0";"4 831";"1 194"
"Routhierville";"NO";"20";"18";"11,1";"15";"16";"-6,3";"11";"11";"0,0";"626,26";"0,0";"4 658";"1 176"
"Ruisseau-des-Mineurs 4";"NO";"5";"0";"...";"27";"37";"-27,0";"4";"0";"...";"935,95";"0,0";"4 760";"1 187"
"Saint-Alexandre-des-Lacs 3";"PE";"298";"268";"11,2";"143";"142";"0,7";"129";"125";"3,2";"89,82";"3,3";"3 515";"1 060"
"Saint-Cléophas";"PE";"321";"333";"-3,6";"159";"156";"1,9";"145";"143";"1,4";"97,22";"3,3";"3 440";"1 045"
"Saint-Damase 3";"PE";"382";"356";"7,3";"178";"170";"4,7";"165";"152";"8,6";"116,42";"3,3";"3 237";"1 007"
"Saint-Léon-le-Grand";"PE";"968";"953";"1,6";"447";"440";"1,6";"420";"420";"0,0";"128,26";"7,5";"2 147";"670"
"Saint-Moïse";"PE";"542";"580";"-6,6";"324";"292";"11,0";"265";"266";"-0,4";"109,80";"4,9";"2 837";"894"
"Saint-Noël";"VL";"392";"398";"-1,5";"210";"212";"-0,9";"182";"187";"-2,7";"45,80";"8,6";"3 204";"997"
"Saint-Tharcisius 3";"PE";"411";"421";"-2,4";"199";"202";"-1,5";"185";"187";"-1,1";"78,84";"5,2";"3 145";"984"
"Saint-Vianney";"MÉ";"446";"441";"1,1";"245";"239";"2,5";"212";"204";"3,9";"145,60";"3,1";"3 056";"960"
"Saint-Zénon-du-Lac-Humqui";"PE";"370";"359";"3,1";"283";"284";"-0,4";"194";"168";"15,5";"113,09";"3,3";"3 283";"1 017"
"Sainte-Florence";"MÉ";"367";"384";"-4,4";"207";"209";"-1,0";"187";"191";"-2,1";"103,48";"3,5";"3 292";"1 019"
"Sainte-Irène";"PE";"369";"327";"12,8";"246";"259";"-5,0";"174";"160";"8,8";"135,09";"2,7";"3 287";"1 018"
"Sainte-Marguerite-Marie";"MÉ";"183";"166";"10,2";"91";"91";"0,0";"86";"84";"2,4";"85,97";"2,1";"3 917";"1 123"
"Sayabec 3";"MÉ";"1 706";"1 831";"-6,8";"872";"889";"-1,9";"812";"823";"-1,3";"130,31";"13,1";"1 538";"465"
"Val-Brillant";"MÉ";"899";"927";"-3,0";"504";"497";"1,4";"419";"416";"0,7";"77,90";"11,5";"2 243";"706"
"Grand-Métis 3";"MÉ";"218";"213";"2,3";"206";"202";"2,0";"122";"116";"5,2";"25,12";"8,7";"3 799";"1 108"
"La Rédemption";"PE";"384";"432";"-11,1";"227";"251";"-9,6";"174";"192";"-9,4";"116,63";"3,3";"3 226";"1 003"
"Lac-des-Eaux-Mortes";"NO";"47";"0";"...";"202";"184";"9,8";"25";"1";"2 400,0";"923,26";"0,1";"4 525";"1 165"
"Lac-à-la-Croix";"NO";"0";"0";"...";"0";"0";"...";"0";"0";"...";"223,35";"0,0";"4 831";"1 194"
"Les Hauteurs";"MÉ";"485";"504";"-3,8";"263";"263";"0,0";"217";"211";"2,8";"102,92";"4,7";"2 979";"935"
"Mont-Joli";"V";"6 384";"6 281";"1,6";"3 173";"3 102";"2,3";"3 034";"2 917";"4,0";"24,24";"263,3";"621";"154"
"Métis-sur-Mer 3";"V";"594";"572";"3,8";"505";"460";"9,8";"310";"274";"13,1";"48,22";"12,3";"2 726";"864"
"Padoue";"MÉ";"250";"245";"2,0";"123";"120";"2,5";"111";"109";"1,8";"66,66";"3,8";"3 684";"1 090"
"Price";"VL";"1 729";"1 759";"-1,7";"794";"788";"0,8";"760";"774";"-1,8";"2,51";"688,8";"1 527";"459"
"Saint-Charles-Garnier";"PE";"222";"240";"-7,5";"151";"146";"3,4";"110";"113";"-2,7";"84,79";"2,6";"3 779";"1 105"
"Saint-Donat";"PE";"835";"876";"-4,7";"478";"499";"-4,2";"400";"395";"1,3";"95,80";"8,7";"2 326";"740"
"Saint-Gabriel-de-Rimouski";"MÉ";"1 177";"1 167";"0,9";"581";"587";"-1,0";"524";"497";"5,4";"126,98";"9,3";"1 924";"590"
"Saint-Joseph-de-Lepage";"PE";"590";"523";"12,8";"260";"258";"0,8";"223";"218";"2,3";"30,98";"19,0";"2 732";"866"
"Saint-Octave-de-Métis";"PE";"493";"511";"-3,5";"221";"222";"-0,5";"207";"205";"1,0";"75,16";"6,6";"2 954";"926"
"Sainte-Angèle-de-Mérici";"MÉ";"989";"953";"3,8";"519";"507";"2,4";"455";"426";"6,8";"107,78";"9,2";"2 121";"665"
"Sainte-Flavie";"PE";"904";"884";"2,3";"531";"497";"6,8";"418";"407";"2,7";"38,23";"23,6";"2 240";"705"
"Sainte-Jeanne-d'Arc";"PE";"217";"280";"-22,5";"146";"169";"-13,6";"110";"131";"-16,0";"110,34";"2,0";"3 803";"1 109"
"Sainte-Luce";"MÉ";"2 845";"2 801";"1,6";"1 462";"1 437";"1,7";"1 292";"1 237";"4,4";"72,59";"39,2";"1 087";"292"
"Frampton 3";"MÉ";"1 309";"1 297";"0,9";"655";"644";"1,7";"591";"540";"9,4";"151,27";"8,7";"1 810";"561"
"Saint-Bernard";"MÉ";"2 535";"2 321";"9,2";"1 048";"974";"7,6";"978";"887";"10,3";"90,10";"28,1";"1 180";"331"
"Saint-Elzéar";"MÉ";"2 623";"2 400";"9,3";"1 031";"949";"8,6";"1 001";"907";"10,4";"87,07";"30,1";"1 150";"319"
"Saint-Isidore";"MÉ";"3 286";"2 880";"14,1";"1 406";"1 220";"15,2";"1 337";"1 149";"16,4";"102,61";"32,0";"978";"254"
"Saint-Lambert-de-Lauzon";"MÉ";"6 817";"6 647";"2,6";"2 752";"2 626";"4,8";"2 671";"2 544";"5,0";"106,76";"63,9";"594";"148"
"Sainte-Hénédine";"PE";"1 440";"1 271";"13,3";"564";"483";"16,8";"544";"472";"15,3";"51,53";"27,9";"1 705";"517"
"Sainte-Marguerite";"PE";"1 175";"1 078";"9,0";"531";"451";"17,7";"491";"440";"11,6";"83,05";"14,1";"1 927";"591"
"Sainte-Marie";"V";"13 134";"13 565";"-3,2";"5 630";"5 857";"-3,9";"5 500";"5 651";"-2,7";"107,55";"122,1";"333";"89"
"Saints-Anges";"PE";"1 239";"1 157";"7,1";"522";"485";"7,6";"487";"444";"9,7";"68,65";"18,0";"1 858";"571"
"Scott";"MÉ";"2 566";"2 352";"9,1";"1 101";"1 046";"5,3";"1 035";"947";"9,3";"31,29";"82,0";"1 171";"327"
"Vallée-Jonction 5";"MÉ";"1 864";"1 875";"-0,6";"862";"867";"-0,6";"830";"834";"-0,5";"25,45";"73,2";"1 436";"421"
"Prévost";"V";"13 692";"13 002";"5,3";"5 722";"5 413";"5,7";"5 532";"5 181";"6,8";"34,29";"399,3";"321";"84"
"Saint-Colomban";"V";"17 740";"16 019";"10,7";"6 807";"6 200";"9,8";"6 632";"5 954";"11,4";"92,71";"191,4";"261";"67"
"Saint-Hippolyte";"MÉ";"10 669";"9 113";"17,1";"5 597";"5 073";"10,3";"4 683";"4 007";"16,9";"119,50";"89,3";"408";"106"
"Saint-Jérôme";"V";"80 213";"74 346";"7,9";"38 776";"35 316";"9,8";"37 371";"33 642";"11,1";"90,18";"889,5";"73";"14"
"Sainte-Sophie";"MÉ";"18 080";"15 690";"15,2";"7 490";"6 578";"13,9";"7 211";"6 225";"15,8";"111,20";"162,6";"253";"65"
"Communauté de Wemotaci";"IRI";"1 142";"1 213";"-5,9";"359";"305";"17,7";"289";"293";"-1,4";"31,55";"36,2";"1 955";"601"
"La Bostonnais";"MÉ";"556";"635";"-12,4";"374";"417";"-10,3";"268";"272";"-1,5";"284,32";"2,0";"2 805";"883"
"La Tuque";"V";"11 129";"11 001";"1,2";"6 930";"6 919";"0,2";"5 543";"5 306";"4,5";"24 809,40";"0,4";"388";"102"
"Lac-Édouard";"MÉ";"220";"191";"15,2";"298";"300";"-0,7";"118";"93";"26,9";"898,32";"0,2";"3 784";"1 106"
"Obedjiwan 28";"IRI";"1 991";"2 019";"-1,4";"433";"419";"3,3";"425";"413";"2,9";"8,26";"241,1";"1 385";"407"
"Belcourt";"MÉ";"219";"225";"-2,7";"120";"116";"3,4";"114";"112";"1,8";"409,74";"0,5";"3 791";"1 107"
"Kitcisakik";"S-É";"257";"274";"-6,2";"93";"105";"-11,4";"80";"82";"-2,4";"1,51";"170,2";"3 649";"1 085"
"Lac Simon";"IRI";"1 285";"1 380";"-6,9";"343";"322";"6,5";"342";"312";"9,6";"3,14";"409,2";"1 823";"565"
"Lac-Granet";"NO";"0";"0";"...";"0";"0";"...";"0";"0";"...";"217,77";"0,0";"4 831";"1 194"
"Lac-Metei";"NO";"0";"0";"...";"0";"0";"...";"0";"0";"...";"72,12";"0,0";"4 831";"1 194"
"Malartic";"V";"3 355";"3 377";"-0,7";"1 635";"1 615";"1,2";"1 481";"1 473";"0,5";"147,45";"22,8";"958";"248"
"Matchi-Manitou";"NO";"0";"0";"...";"0";"0";"...";"0";"0";"...";"164,77";"0,0";"4 831";"1 194"
"Rivière-Héva";"MÉ";"1 495";"1 419";"5,4";"729";"702";"3,8";"649";"604";"7,5";"423,27";"3,5";"1 668";"504"
"Réservoir-Dozois";"NO";"0";"0";"...";"0";"1";"-100,0";"0";"1";"-100,0";"3 832,68";"0,0";"4 831";"1 194"
"Senneterre";"V";"2 782";"2 868";"-3,0";"1 534";"1 448";"5,9";"1 390";"1 352";"2,8";"14 718,51";"0,2";"1 101";"296"
"Senneterre";"PE";"1 202";"1 192";"0,8";"606";"563";"7,6";"559";"539";"3,7";"567,05";"2,1";"1 893";"578"
"Val-d'Or";"V";"32 752";"32 491";"0,8";"15 884";"15 352";"3,5";"15 033";"14 565";"3,2";"3 536,84";"9,3";"148";"35"
"Aumond";"CT";"754";"754";"0,0";"623";"601";"3,7";"355";"341";"4,1";"212,82";"3,5";"2 434";"780"
"Blue Sea";"MÉ";"696";"639";"8,9";"639";"799";"-20,0";"358";"318";"12,6";"72,97";"9,5";"2 533";"805"
"Bois-Franc";"MÉ";"411";"421";"-2,4";"215";"212";"1,4";"192";"188";"2,1";"71,56";"5,7";"3 145";"984"
"Bouchette";"MÉ";"695";"731";"-4,9";"629";"701";"-10,3";"347";"329";"5,5";"122,09";"5,7";"2 534";"806"
"Cascades-Malignes";"NO";"0";"0";"...";"0";"0";"...";"0";"0";"...";"480,88";"0,0";"4 831";"1 194"
"Cayamant";"MÉ";"895";"821";"9,0";"1 036";"1 073";"-3,4";"460";"405";"13,6";"382,49";"2,3";"2 251";"711"
"Denholm";"MÉ";"546";"505";"8,1";"561";"556";"0,9";"274";"224";"22,3";"177,33";"3,1";"2 826";"890"
"Déléage";"MÉ";"1 916";"1 852";"3,5";"1 021";"984";"3,8";"872";"849";"2,7";"248,26";"7,7";"1 417";"415"
"Dépôt-Échouani";"NO";"0";"0";"...";"0";"0";"...";"0";"0";"...";"308,12";"0,0";"4 831";"1 194"
"Egan-Sud";"MÉ";"508";"504";"0,8";"258";"245";"5,3";"235";"227";"3,5";"49,82";"10,2";"2 920";"920"
"Gracefield";"V";"2 376";"2 462";"-3,5";"1 880";"2 069";"-9,1";"1 131";"1 126";"0,4";"380,94";"6,2";"1 235";"348"
"Grand-Remous";"MÉ";"1 159";"1 161";"-0,2";"778";"754";"3,2";"563";"538";"4,6";"351,63";"3,3";"1 938";"595"
"Kazabazua";"MÉ";"1 037";"945";"9,7";"832";"825";"0,8";"484";"422";"14,7";"172,91";"6,0";"2 068";"646"
"Kitigan Zibi 5";"IRI";"1 204";"1 231";"-2,2";"633";"575";"10,1";"581";"507";"14,6";"195,06";"6,2";"1 889";"577"
"Lac-Lenôtre";"NO";"0";"0";"...";"0";"0";"...";"0";"0";"...";"1 934,31";"0,0";"4 831";"1 194"
"Lac-Moselle";"NO";"0";"0";"...";"0";"0";"...";"0";"0";"...";"1 144,81";"0,0";"4 831";"1 194"
"Lac-Pythonga";"NO";"0";"0";"...";"0";"1";"-100,0";"0";"0";"...";"5 061,54";"0,0";"4 831";"1 194"
"Lac-Rapide 6";"IRI";"..";"..";"..";"..";"..";"..";"..";"..";"..";"0,36";"..";"..";".."
"Lac-Sainte-Marie";"MÉ";"677";"566";"19,6";"930";"997";"-6,7";"374";"287";"30,3";"205,71";"3,3";"2 569";"818"
"Low";"CT";"1 020";"982";"3,9";"864";"961";"-10,1";"495";"462";"7,1";"257,78";"4,0";"2 088";"656"
"Maniwaki 5";"V";"3 757";"3 843";"-2,2";"2 110";"2 057";"2,6";"1 881";"1 912";"-1,6";"5,67";"662,8";"902";"230"
"Messines";"MÉ";"1 655";"1 609";"2,9";"1 047";"1 057";"-0,9";"787";"721";"9,2";"110,11";"15,0";"1 563";"475"
"Montcerf-Lytton";"MÉ";"653";"636";"2,7";"387";"333";"16,2";"306";"287";"6,6";"354,64";"1,8";"2 611";"834"
"Sainte-Thérèse-de-la-Gatineau";"MÉ";"588";"520";"13,1";"534";"563";"-5,2";"288";"249";"15,7";"60,68";"9,7";"2 734";"867"
"Beloeil";"V";"24 104";"22 458";"7,3";"10 338";"9 273";"11,5";"10 140";"9 098";"11,5";"24,38";"988,8";"183";"47"
"Carignan";"V";"11 740";"9 462";"24,1";"4 375";"3 572";"22,5";"4 274";"3 413";"25,2";"62,07";"189,1";"367";"92"
"Chambly";"V";"31 444";"29 120";"8,0";"12 609";"11 546";"9,2";"12 405";"11 246";"10,3";"25,08";"1 253,7";"153";"36"
"McMasterville";"MÉ";"5 936";"5 698";"4,2";"2 459";"2 332";"5,4";"2 408";"2 285";"5,4";"3,12";"1 904,0";"656";"166"
"Mont-Saint-Hilaire";"V";"18 859";"18 585";"1,5";"7 917";"7 702";"2,8";"7 766";"7 499";"3,6";"44,08";"427,8";"244";"64"
"Otterburn Park";"V";"8 479";"8 421";"0,7";"3 381";"3 301";"2,4";"3 335";"3 255";"2,5";"5,37";"1 578,2";"486";"122"
"Saint-Antoine-sur-Richelieu";"MÉ";"1 738";"1 694";"2,6";"752";"739";"1,8";"729";"715";"2,0";"65,67";"26,5";"1 520";"453"
"Saint-Basile-le-Grand";"V";"17 053";"17 059";"0,0";"6 635";"6 447";"2,9";"6 561";"6 391";"2,7";"35,84";"475,8";"269";"69"
"Saint-Charles-sur-Richelieu";"MÉ";"1 735";"1 717";"1,0";"794";"759";"4,6";"761";"719";"5,8";"64,91";"26,7";"1 522";"455"
"Saint-Denis-sur-Richelieu";"MÉ";"2 339";"2 308";"1,3";"1 045";"1 043";"0,2";"1 011";"981";"3,1";"84,64";"27,6";"1 248";"354"
"Saint-Jean-Baptiste";"MÉ";"3 179";"3 107";"2,3";"1 386";"1 365";"1,5";"1 346";"1 315";"2,4";"72,36";"43,9";"1 003";"260"
"Saint-Marc-sur-Richelieu";"MÉ";"2 245";"2 172";"3,4";"908";"895";"1,5";"880";"859";"2,4";"60,92";"36,9";"1 283";"373"
